Pin Pin_Name Bank
R11 DXN_0_R11 0
M12 VCCADC_0_M12 0
M11 GNDADC_0_M11 0
R12 DXP_0_R12 0
N11 VREFN_0_N11 0
P12 VREFP_0_P12 0
N12 VP_0_N12 0
P11 VN_0_P11 0
E8 VCCBATT_0_E8 0
C8 CCLK_0_C8 0
L8 TCK_0_L8 0
N8 TMS_0_N8 0
R7 TDO_0_R7 0
R6 TDI_0_R6 0
G7 INIT_B_0_G7 0
P6 PROGRAM_B_0_P6 0
P7 CFGBVS_0_P7 0
J7 DONE_0_J7 0
P5 M2_0_P5 0
T5 M0_0_T5 0
T2 M1_0_T2 0
U21 IO_0_12_U21 12
U22 IO_L1P_T0_12_U22 12
V22 IO_L1N_T0_12_V22 12
U24 IO_L2P_T0_12_U24 12
U25 IO_L2N_T0_12_U25 12
V23 IO_L3P_T0_DQS_12_V23 12
V24 IO_L3N_T0_DQS_12_V24 12
U26 IO_L4P_T0_12_U26 12
V26 IO_L4N_T0_12_V26 12
W25 IO_L5P_T0_12_W25 12
W26 IO_L5N_T0_12_W26 12
V21 IO_L6P_T0_12_V21 12
W21 IO_L6N_T0_VREF_12_W21 12
AA25 IO_L7P_T1_12_AA25 12
AB25 IO_L7N_T1_12_AB25 12
W23 IO_L8P_T1_12_W23 12
W24 IO_L8N_T1_12_W24 12
AB26 IO_L9P_T1_DQS_12_AB26 12
AC26 IO_L9N_T1_DQS_12_AC26 12
Y25 IO_L10P_T1_12_Y25 12
Y26 IO_L10N_T1_12_Y26 12
AA23 IO_L11P_T1_SRCC_12_AA23 12
AB24 IO_L11N_T1_SRCC_12_AB24 12
Y23 IO_L12P_T1_MRCC_12_Y23 12
AA24 IO_L12N_T1_MRCC_12_AA24 12
Y22 IO_L13P_T2_MRCC_12_Y22 12
AA22 IO_L13N_T2_MRCC_12_AA22 12
AC23 IO_L14P_T2_SRCC_12_AC23 12
AC24 IO_L14N_T2_SRCC_12_AC24 12
W20 IO_L15P_T2_DQS_12_W20 12
Y21 IO_L15N_T2_DQS_12_Y21 12
AD23 IO_L16P_T2_12_AD23 12
AD24 IO_L16N_T2_12_AD24 12
AB22 IO_L17P_T2_12_AB22 12
AC22 IO_L17N_T2_12_AC22 12
AB21 IO_L18P_T2_12_AB21 12
AC21 IO_L18N_T2_12_AC21 12
AD21 IO_L19P_T3_12_AD21 12
AE21 IO_L19N_T3_VREF_12_AE21 12
AF24 IO_L20P_T3_12_AF24 12
AF25 IO_L20N_T3_12_AF25 12
AD26 IO_L21P_T3_DQS_12_AD26 12
AE26 IO_L21N_T3_DQS_12_AE26 12
AE23 IO_L22P_T3_12_AE23 12
AF23 IO_L22N_T3_12_AF23 12
AD25 IO_L23P_T3_12_AD25 12
AE25 IO_L23N_T3_12_AE25 12
AE22 IO_L24P_T3_12_AE22 12
AF22 IO_L24N_T3_12_AF22 12
Y20 IO_25_12_Y20 12
N16 IO_0_13_N16 13
K25 IO_L1P_T0_13_K25 13
K26 IO_L1N_T0_13_K26 13
R26 IO_L2P_T0_13_R26 13
P26 IO_L2N_T0_13_P26 13
M25 IO_L3P_T0_DQS_13_M25 13
L25 IO_L3N_T0_DQS_13_L25 13
P24 IO_L4P_T0_13_P24 13
N24 IO_L4N_T0_13_N24 13
N26 IO_L5P_T0_13_N26 13
M26 IO_L5N_T0_13_M26 13
R25 IO_L6P_T0_13_R25 13
P25 IO_L6N_T0_VREF_13_P25 13
N19 IO_L7P_T1_13_N19 13
M20 IO_L7N_T1_13_M20 13
M24 IO_L8P_T1_13_M24 13
L24 IO_L8N_T1_13_L24 13
P19 IO_L9P_T1_DQS_13_P19 13
P20 IO_L9N_T1_DQS_13_P20 13
M21 IO_L10P_T1_13_M21 13
M22 IO_L10N_T1_13_M22 13
P23 IO_L11P_T1_SRCC_13_P23 13
N23 IO_L11N_T1_SRCC_13_N23 13
N21 IO_L12P_T1_MRCC_13_N21 13
N22 IO_L12N_T1_MRCC_13_N22 13
R21 IO_L13P_T2_MRCC_13_R21 13
P21 IO_L13N_T2_MRCC_13_P21 13
R22 IO_L14P_T2_SRCC_13_R22 13
